commenterID,commentBody,date_posted
UClVmB25WheEbym2sOMSP_ew,"If Ayatollahs want to negotiate, they might as well call AIPAC and deal directly with the decision makers",2026-03-24T14:03:08Z
UCfgzTU2tMhoAmcKxDbweLVQ,TACO!,2026-03-24T14:03:08Z
UCfgzTU2tMhoAmcKxDbweLVQ,"They never toyed with ""nuclear"" they never needed to. They can choke the world with couple of cheap sea mines. They are not firing as much as the beginning because I think they are playing the long game. This is should scare all you chicken hawks.",2026-03-24T14:02:55Z
UClVmB25WheEbym2sOMSP_ew,New hotline for US foreign policy: it connects directly to the desk of AIPAC president Michael Tuchin,2026-03-24T14:02:48Z
UCpuulJ0FM9S-2Ck2ZDncCOw,Jooooos are everywhere,2026-03-24T14:02:41Z
UC-gPyIFFxDTyU8uZFgdHH4w,Talk about fake news. Iran has a ton of weapons deep undergroung that we cant bomb. You need to be honest about this war. There's a reason why Trump wants to negotiate and Iran doesn't,2026-03-24T14:02:35Z
UCNoIEb6-TnI_YShdzglsX7A,No way for Trump and Netanyahu to win. 🇺🇸🇮🇱,2026-03-24T14:02:33Z
UClVmB25WheEbym2sOMSP_ew,"When things don’t go well, go to Graceland.",2026-03-24T14:02:23Z
UClVmB25WheEbym2sOMSP_ew,TACO went to Graceland to find out if the ghost of Elvis could intercede with the Ayatollahs,2026-03-24T14:02:03Z
UCOlN0VjsDlnTS0tYEI8i2sw,I can’t wait until warmongering Americans are starving on mass,2026-03-24T14:01:45Z
UClVmB25WheEbym2sOMSP_ew,President NetandYahoo called TACO and told him ‘go play golf and leave negotiations to me’,2026-03-24T14:01:42Z
UCpuulJ0FM9S-2Ck2ZDncCOw,Trump is a pump and dump scammer,2026-03-24T14:01:21Z
UClVmB25WheEbym2sOMSP_ew,He’s negotiating directly with the ghost of Khameini.,2026-03-24T14:01:19Z
UClVmB25WheEbym2sOMSP_ew,🌮 strikes again,2026-03-24T14:01:03Z
UClVmB25WheEbym2sOMSP_ew,TACO cancelled strikes against the Iranian power grid. Classic 🌮 move.,2026-03-24T14:00:48Z
UClVmB25WheEbym2sOMSP_ew,"What victory? Regime change, nope. Abandonment of the Iranian nuclear program, nope. Iranian missile destruction, nope.",2026-03-24T14:00:30Z
UCN70dh6QnEtVTK50Mlp1hqw,Congress are useless idiots.,2026-03-24T14:00:27Z
UCpuulJ0FM9S-2Ck2ZDncCOw,F Israel,2026-03-24T13:59:43Z
UClVmB25WheEbym2sOMSP_ew,Iran put Trump in a corner: keep bombing and see energy prices skyrocket and the world get mad at the US or retreat and look like the fool he is.,2026-03-24T13:59:36Z
UCN2qyexmSf38XfkeyeN-iAA,I'm  wondering why Iran is still going strong after Israel and US claims that most of their missiles taken out.. Looks like just rhetoric from Israel and US..also 2 major powers against 1 and still playing second fiddle.. 😮,2026-03-24T13:59:24Z
UCD5wqfUwZzGvyisE0Z3x4DQ,Make a deal with terrorists 😅😅  Dumbest thing I've ever heard.  What happened to the 40k people killed in one month? Lets make a deal with a murderous regime....,2026-03-24T13:58:56Z
UCanQkMIx2uJP9XL6ojqPXOg,💪🇮🇷💪,2026-03-24T13:58:48Z
UCAXnnuxoUy04-voLvL2TnVw,TACO 😂,2026-03-24T13:58:08Z
UCD38OaJbsoSw7R1eysefaFw,As diplomatic efforts play out 👀👀👀👀👀👀,2026-03-24T13:57:27Z
UCrdAH4ua6pMY-pqFXqjtELw,"Wait, I thought Trump said they began peace talks and that it was going well?",2026-03-24T13:56:57Z
UC4JPYfgfBKtvtILZ3fj1P8w,Iran to Donald Duck: Fcuk off !! 😂,2026-03-24T13:56:55Z
UCDbUL-BJcQL9759fPNOyGMw,"😂😂😂
EPIC BULLSHITERY",2026-03-24T13:56:27Z
UC1eOg-lahstTt-eiZMz_vtQ,"Israel thinks they are chosen people, and  US is their slave. 😂😂.",2026-03-24T13:56:12Z
UCqFCvDjLj1m3igI3m_0r99A,"EPIC FAILURE YOU MEAN ! IRAN IS ALWAYS REFERRED BY YOU AS A “REGIME”, ie BAD PEOPLE. ISRAEL IS THE ULTIMATE EVIL REGIME. 
THIS WAR IS ILLEGAL, UNECESSARY AND AMERICA HASN’T GOT A CLUE ABOUT OTHER CIVILIZATIONS LIKE IRAN.",2026-03-24T13:55:36Z
UCYg3wkkdFCEi8VDu6V-39kw,Long live 🇺🇲🇺🇲🇮🇱🇮🇱🇮🇱❤️❤️❤️❤️,2026-03-24T13:55:06Z
